Gen_Index,commitinit,upinit,downinit
General Foods 1 NUG,0,0,148
Kent CT 2,0,0,148
Kent CT 1,0,0,148
LGP NUG (Logan),1,48,0
Kinsley Landfill,0,0,148
Cogentrix Portsmouth 2 (Lk.Kingman),0,0,24
Cogentrix Portsmouth 1 (Lk.Kingman),0,0,24
PCLP1 NUG,0,0,148
Gilberton NUG,1,48,0
Harrisburg NUG,1,48,0
IUP NUG,0,0,148
Colver NUG,1,48,0
Grant Town,1,48,0
South River NUG,0,0,148
Mt Carmel Cogen (FosterWheeler),1,48,0
Cogentrix Hopewell 2 (James River),0,0,148
Cogentrix Hopewell 1 (James River),0,0,148
Edgecombe 2 (Rocky Mt),0,0,24
Edgecombe 1 (Rocky Mt),0,0,24
Camden County RR NUG,0,0,148
CPGP NUG (Chambers/Carneys PT),1,48,0
Ebensburg NUG,1,48,0
Baltimore Resco NUG (Bresco),1,48,0
Hopewell Cogen 1 (HCF),0,0,148
Cambria County NUG,1,48,0
Essex County RR NUG (Covanta),0,0,148
AES Beaver,0,0,148
Warrior Run,1,48,0
Del Resource Mgmt Inc NUG,0,0,148
Camden COGEN,0,0,148
Hopewell Coal (Polyester),1,48,0
Altavista (Hall Branch),0,0,148
Southampton 1,0,0,148
Kenilworth NUG,0,0,148
Hazelton LM 200,0,0,148
Hazelton LM 400,0,0,148
Hazelton GT 100,0,0,148
Hazelton LM 300,0,0,148
Big Sandy 1,0,0,148
Big Sandy (AEP) 2,1,48,0
Big Sandy 4,0,0,148
Big Sandy (AEP) 1,1,48,0
Big Sandy 5,0,0,148
Big Sandy 3,0,0,148
Big Sandy 6,0,0,148
Big Sandy 2,0,0,148
Barkley 3,0,0,148
Barkley 2,1,48,0
Barkley 1,1,48,0
Barkley 4,1,48,0
Elmer Smith 1,0,0,148
Elmer Smith 2,1,6,0
Wolf Creek 6,1,48,0
Wolf Creek 5,1,48,0
Wolf Creek 4,1,48,0
Wolf Creek 1,1,48,0
Wolf Creek 2,1,48,0
Wolf Creek 3,1,48,0
Cooper 2,1,16,0
Cooper 1,1,48,0
Dale 2,0,0,148
Dale 3,0,0,148
Dale 4,0,0,148
Dale 1,0,0,148
Charles Crane CT 1,0,0,148
Charles Crane 1,1,48,0
Charles Crane 2,1,48,0
Gould St 3,0,0,148
