Gen_Index,commitinit,upinit,downinit
Stuart D 4,0,0,244
Stuart D 3,0,0,244
Monument D 3,0,0,244
Monument D 5,0,0,244
Monument D 2,0,0,244
Monument D 1,0,0,244
Monument D 4,0,0,244
Sidney D 3,0,0,244
Sidney D 2,0,0,244
Sidney D 4,0,0,244
Sidney D 1,0,0,244
Sidney D 5,0,0,244
Yankee GT 4,0,0,244
Yankee GT 7,0,0,244
Yankee GT 5,0,0,244
Yankee GT 2,0,0,244
Yankee GT 1,0,0,244
Yankee GT 6,0,0,244
Yankee GT 3,0,0,244
Niles CT A,0,0,48
Burger B2,0,0,244
Burger B1,0,0,244
Burger A,0,0,244
Sammis B2,0,0,244
Sammis B3,0,0,244
Sammis 3,1,144,0
Sammis 6,1,144,0
Sammis 2,1,63,0
Sammis 1,1,144,0
Sammis A,0,0,244
Sammis 5,1,144,0
Sammis B1,0,0,244
Sammis 4,1,144,0
Sammis B4,0,0,244
Sammis 7,1,144,0
West Lorain 2,0,0,72
West Lorain A (Beaver),0,0,48
West Lorain 4,0,0,244
West Lorain B (Beaver),0,0,244
West Lorain 5,0,0,244
West Lorain 3,0,0,72
West Lorain 6,0,0,72
Muskigum Rv 1,0,0,244
Muskigum Rv 2,0,0,244
Muskigum Rv 4,0,0,244
Muskigum Rv 5,1,144,0
Muskigum Rv 3,0,0,72
Kyger Creek 5,1,89,0
Kyger Creek 1,1,144,0
Kyger Creek 3,0,0,24
Kyger Creek 2,1,144,0
Kyger Creek 4,1,144,0
Bay Shore 1,0,0,120
Bay Shore CT,0,0,244
Richland 6,0,0,244
Richland 2,0,0,244
Richland 5,0,0,244
Richland 4,0,0,244
Richland 3,0,0,244
Richland 1,0,0,244
Stryker 1,0,0,244
Brunot Island 1A,0,0,244
Brunot Island 1B,0,0,244
Brunot Island 1C,0,0,244
Brunot Island 2B,0,0,244
Brunot Island 4,0,0,244
Brunot Island 2A,0,0,244
Brunot Island 3,0,0,244
Elrama 4,0,0,244
Elrama 1,0,0,244
Elrama 3,0,0,244
Elrama 2,0,0,244
Hamilton 1,0,0,72
Hunterstown 3,0,0,244
Hunterstown 2,0,0,244
Hunterstown 1,0,0,244
Mountain 2,0,0,244
Mountain 1,0,0,244
Orrtanna 1,0,0,244
Portland 4,0,0,48
Portland 1,0,0,244
Portland 2,0,0,244
Portland 3,0,0,244
Portland 5,0,0,48
Shawnee 1,0,0,244
Titus 5,0,0,244
Titus 4,0,0,244
Tolna 2,0,0,72
Tolna 1,0,0,72
York Haven Hydro,1,14,0
Conemaugh Diesel B,0,0,244
Conemaugh Diesel D,0,0,244
Conemaugh Diesel A,0,0,244
Conemaugh 2,1,144,0
Conemaugh Diesel C,0,0,244
Conemaugh 1,1,144,0
Blossburg CT,1,14,0
Homer City 3,1,144,0
Homer City 2,1,144,0
Homer City 1,1,144,0
Piney 2,1,144,0
Piney 1,1,144,0
Piney 3,1,144,0
Seward 1,1,144,0
Shawville 3,1,89,0
Shawville 7,0,0,244
Shawville 5,0,0,244
Shawville 1,1,61,0
Shawville 6,0,0,244
Shawville 4,0,0,72
Shawville 2,1,144,0
Warren CT,0,0,48
Keystone 2,1,144,0
Keystone Diesel 6,0,0,244
Keystone 1,1,144,0
Keystone Diesel 5,0,0,244
Keystone Diesel 3,0,0,244
Keystone Diesel 4,0,0,244
New Castle 5,0,0,48
New Castle 4,1,48,0
New Castle 3,1,144,0
New Castle EMD B,0,0,244
New Castle EMD A,0,0,244
Allentown 4,0,0,244
Allentown 2,0,0,244
Allentown 1,0,0,244
Allentown 3,0,0,244
Brunner Island Diesel 1,0,0,244
Brunner Island Diesel 3,0,0,244
Brunner Island 2,1,144,0
Brunner Island 3,1,144,0
Brunner Island Diesel 2,0,0,244
Brunner Island 1,1,144,0
Fishbach 2,0,0,244
Fishbach 1,0,0,244
Harrisburg 1,0,0,244
Harrisburg 4,0,0,96
Harrisburg 3,0,0,244
Harrisburg 2,0,0,244
Harwood 1,0,0,244
Harwood 2,0,0,244
Holtwood 01,1,7,0
Holtwood 03,1,7,0
Holtwood 13,1,144,0
Holtwood 02,1,7,0
Holtwood 05,1,7,0
Holtwood 11,1,144,0
Holtwood 04,1,7,0
Holtwood 08,1,7,0
Holtwood 09,1,7,0
Holtwood 06,1,7,0
Holtwood 10,1,7,0
Holtwood 07,1,7,0
Jenkins(Georgetown) 2,0,0,244
Jenkins(Georgetown) 1,0,0,244
Lockhaven 1,0,0,244
Martins Creek CTG 3,0,0,244
Martins Creek CTG 4,0,0,244
Martins Creek 4,1,78,0
Martins Creek CTG 2,0,0,244
Martins Creek CTG 1,0,0,244
Martins Creek 3,0,0,24
Montour 2,1,144,0
Montour 1,1,24,0
Montour ATG,0,0,244
Sunbury CTG 2,0,0,244
Sunbury Diesel 1,0,0,48
Sunbury Diesel 2,0,0,244
Sunbury 1,0,0,244
Sunbury CTG 1,0,0,244
Sunbury 2,0,0,244
Sunbury 4,0,0,244
Sunbury 3,0,0,244
Wallenpaupack 2,1,144,0
Wallenpaupack 1,1,144,0
West Shore 1,0,0,244
West Shore 2,0,0,244
Williamsport 1,0,0,244
Williamsport 2,0,0,244
Chester 9,0,0,244
Chester 8,0,0,244
Chester 7,0,0,244
Delaware 12,0,0,244
Delaware 11,0,0,244
Delaware 09,0,0,244
Delaware 10,0,0,244
Eddystone 10,0,0,244
Eddystone 30,0,0,244
Eddystone 20,0,0,244
Eddystone 04,0,0,244
Eddystone 40,0,0,244
Eddystone 03,0,0,244
Falls 2,0,0,244
Falls 1,0,0,244
Falls 3,0,0,244
Moser 2,0,0,244
Moser 3,0,0,244
Moser 1,0,0,244
Muddy Run 2,0,0,244
Muddy Run 3,0,0,14
Muddy Run 1,0,0,4
Muddy Run 4,0,0,244
Muddy Run 5,0,0,49
Muddy Run 7,0,0,72
Muddy Run 8,0,0,96
Muddy Run 6,0,0,120
Peach Bottom 3,1,144,0
Peach Bottom 2,1,144,0
Richmond 91,0,0,48
Richmond 92,0,0,48
Schuylkill 10,0,0,244
Schuylkill 11,0,0,244
Southwark 6,0,0,244
Southwark 3,0,0,244
Southwark 4,0,0,244
Southwark 5,0,0,244
Safe Harbor 08,1,144,0
Safe Harbor 05,1,144,0
Safe Harbor 10,1,144,0
Safe Harbor 09,1,144,0
Safe Harbor 07,1,144,0
Safe Harbor 01,1,144,0
Safe Harbor 11,1,58,0
Safe Harbor 06,1,144,0
Safe Harbor 12,1,58,0
Safe Harbor 04,1,144,0
Safe Harbor 02,1,144,0
Safe Harbor 03,1,144,0
Hunlock 3,0,0,24
Hunlock 5,0,0,24
Hunlock 6,0,0,24
Cordell Hull 3,1,144,0
Cordell Hull 1,1,144,0
Cordell Hull 2,1,144,0
Dale Hollow 3,1,144,0
Dale Hollow 2,1,144,0
Dale Hollow 1,1,144,0
Old Hickory 1,1,144,0
Old Hickory 2,1,144,0
Old Hickory 3,1,144,0
Old Hickory 4,0,0,244
J Percy Priest,1,144,0
Buck 1,1,13,0
Buck 3,1,56,0
Buck 2,1,55,0
Byllesby 1,0,0,244
Byllesby 3,0,0,244
Byllesby 2,0,0,244
Byllesby 4,0,0,244
Claytor 2,0,0,244
Claytor 3,1,81,0
Claytor 4,1,81,0
Claytor 1,1,144,0
Clinch River 2,0,0,72
Clinch River 1,0,0,244
Clinch River 3,1,17,0
Glen Lyn 5,0,0,244
Glen Lyn 6,0,0,24
Leesville 2,0,0,10
Leesville 1,1,15,0
Niagara 1,1,38,0
Niagara 2,0,0,244
Reusens 5,0,0,244
Reusens 2,0,0,244
Reusens 3,0,0,244
Reusens 4,0,0,244
Reusens 1,0,0,244
Smith Mtn 3,0,0,8
Smith Mtn 5,0,0,16
Smith Mtn 1,0,0,14
Smith Mtn 4,0,0,244
Smith Mtn 2,0,0,5
Bayview 16,0,0,48
Tasley 10,0,0,244
Bremo 3,0,0,244
Bremo 4,0,0,244
Chesterfield 6,1,144,0
Chesterfield 4,1,144,0
Chesterfield 3,1,75,0
Chesterfield 5,1,33,0
Chesterfield 7,1,18,0
Chesterfield 8,1,88,0
Cushaw 1,1,144,0
Low Moor GT 1,0,0,244
Low Moor GT 2,0,0,244
Low Moor GT 4,0,0,244
Low Moor GT 3,0,0,244
Northern Neck GT 2,0,0,244
Northern Neck GT 3,0,0,244
Northern Neck GT 1,0,0,244
Northern Neck GT 4,0,0,244
Chesapeake GT4,0,0,244
Chesapeake GT1,0,0,244
Chesapeake 1,1,144,0
Chesapeake 2,1,96,0
Chesapeake GT6,0,0,244
Chesapeake 4,1,74,0
Chesapeake 3,1,144,0
Chesapeake GT2,0,0,244
Possum Point GT 2,0,0,48
Possum Point GT 4,0,0,48
Possum Point GT 1,0,0,48
Possum Point 5,0,0,48
Possum Point GT 3,0,0,48
Possum Point 4,0,0,244
Possum Point 3,0,0,244
Possum Point GT 6,0,0,48
Possum Point GT 5,0,0,48
Possum Point 6,1,144,0
Surry 2,1,144,0
Surry 1,1,144,0
Yorktown 1,1,144,0
Yorktown 2,1,144,0
Yorktown 3,0,0,24
Kerr Dam 2,1,144,0
Kerr Dam 5,1,144,0
Kerr Dam 4,1,144,0
Kerr Dam 3,1,144,0
Kerr Dam 6,1,144,0
Kerr Dam 7,1,144,0
Kerr Dam 1,1,144,0
Philpott 1,1,144,0
Philpott 3,1,144,0
Philpott 2,1,144,0
Joliet 7,1,144,0
Joliet 8,0,0,96
Amos 1,1,144,0
Amos 3,1,24,0
Amos 2,1,64,0
Kanawha Rv 2,1,144,0
Kanawha Rv 1,0,0,48
Sporn 4,1,61,0
Sporn 2,0,0,244
Sporn 1,0,0,244
Sporn 3,1,144,0
WVU/MEA,1,144,0
Fort Martin 2,1,120,0
Fort Martin 1,1,144,0
Harrison 2,1,144,0
Harrison 3,0,0,48
Harrison 1,1,144,0
Kammer Block 200,1,144,0
Kammer 1,0,0,96
Kammer 3,0,0,244
Kammer 2,0,0,244
Mitchell (AEP) 1,1,48,0
Mitchell (AEP) 2,1,48,0
Mount Storm 3,1,144,0
Mount Storm 2,0,0,24
Mount Storm GT 1,0,0,244
Mount Storm 1,1,71,0
Easton 21,0,0,48
Easton201,0,0,244
Easton 24,0,0,48
Easton202,0,0,244
Easton 23,0,0,48
Easton 204,0,0,48
Easton 22,0,0,244
Easton 203,0,0,48
Greenup 1,1,144,0
Greenup 2,0,0,244
Greenup 3,0,0,244
Glen Ferris 6 (Hawks Nest),0,0,244
Glen Ferris 2 (Hawks Nest),0,0,244
Glen Ferris 5 (Hawks Nest),0,0,244
Glen Ferris 1 (Hawks Nest),0,0,42
Glen Ferris 4 (Hawks Nest),0,0,244
Glen Ferris 3 (Hawks Nest),0,0,50
Glen Ferris 7 (Hawks Nest),1,11,0
Glen Ferris 8 (Hawks Nest),1,9,0
Hannibal Dam,1,39,0
NEPCO NUG,0,0,48
MH50 (Sunoil),0,0,244
York County RR NUG,0,0,24
Archbald,1,144,0
PEI 5,0,0,72
Archbald 2,0,0,244
PEI 6,0,0,24
Paxton Creek NUG,0,0,244
Newark Bay COGEN,0,0,48
Glatfelter NUG,1,144,0
Kimberly Clark,1,144,0
Bayonne COGEN NUG,0,0,48
Rosemary 1,0,0,48
Eagle Point COGEN NUG,0,0,244
Pottstown 1,0,0,244
Westwood 1,1,87,0
Mobil NUG (BtM),0,0,244
MCRRF1,1,65,0
Covanta Fairfax 1 (Ogden Martin),1,88,0
Panther Creek NUG,1,144,0
Parlin ST1,0,0,244
Parlin CT1,0,0,244
Parlin CT2,0,0,244
Parlin ST2,0,0,244
Cumberland CT 2,0,0,48
Cumberland CT 1,0,0,48
Marcal NUG,0,0,244
Lancaster County RR NUG,0,0,24
Wheelabrator-Frackville NUG,0,0,72
Gloucester NUG,0,0,244
Northampton,1,144,0
ALD 6,1,144,0
PE Hydro,1,144,0
ALD 5,1,36,0
Union County Resource Recovery,0,0,24
Bellmeade,0,0,48
Scrubgrass NUG,1,144,0
Mecklenburg 1 (Buggs Is),1,144,0
Mecklenburg 2 (Buggs Is),1,144,0
Doswell CC2 (4Rivers5),1,88,0
Doswell CC1 (4Rivers5),1,88,0
Doswell CT (4Rivers1),0,0,244
Yough Dam NUG,1,144,0
I95 LF Phase I,1,17,0
Great Falls Hydro NUG,1,6,0
Elizabeth River 2,0,0,48
Elizabeth River 1,0,0,48
Elizabeth River 3,0,0,244
Pittsylvania (Hurt),1,88,0
North Wales D 1,0,0,244
Conemaugh Hydro NUG,1,144,0
Gude LF,1,18,0
Smith CT 3,0,0,48
Smith CT 10,0,0,48
Smith CT 5,0,0,48
Smith CT 6,0,0,48
Smith CT 1,0,0,244
Smith CT 4,0,0,48
Smith CT 7,0,0,48
Smith CT 9,0,0,48
Smith CT 2,0,0,48
Rensselaer Cogen,0,0,244
Roanoke Valley 1,1,144,0
Spruance 3 (Richmond),1,89,0
Spruance 1 (Richmond),0,0,24
Spruance 2 (Richmond),0,0,24
Spruance 4 (Richmond),1,89,0
Birchwood 1,1,144,0
Covanta Plymouth (Montenay),0,0,48
Schuylkill Energy NUG,1,144,0
Willamette (PennTech)(Domtar),1,144,0
Lakewood NUG,0,0,244
Cat Tractor NUG,0,0,48
I95 LF Phase II,1,17,0
Wheelabrator Falls NUG,0,0,244
Roanoke Valley 2,1,144,0
Dinwiddie Diesel,0,0,244
Weakley Diesel,0,0,244
Grays Ferry Cogen,0,0,244
Panda,0,0,24
Gordonsville 1 (So.Anna),0,0,244
Gordonsville 2 (So.Anna),0,0,24
Santeetlah 2,1,144,0
Santeetlah 1,1,144,0
Cheoah 5,0,0,244
Cheoah 4,1,12,0
Cheoah 3,1,7,0
Cheoah 1,1,7,0
Cheoah 2,1,12,0
Calderwood 2,1,144,0
Calderwood 1,1,144,0
Calderwood 3,1,144,0
Chilhowee 1,1,144,0
Chilhowee 2,1,144,0
Chilhowee 3,1,144,0
Keystone NUG,0,0,24
Manchester,0,0,48
Ocean County LF,0,0,48
Lakeview,1,17,0
Rocky Road CT 33,0,0,244
Rocky Road CT 31,0,0,244
Rocky Road CT 34,0,0,244
Rocky Road CT 32,0,0,244
Madison 1,1,18,0
Kendall 2,1,59,0
Kendall 4,1,75,0
Kendall 3,1,75,0
Kendall 1,1,74,0
Bluegrass CT 2,0,0,244
Bluegrass CT 3,0,0,244
Bluegrass CT 1,0,0,244
Cordova ST 1,0,0,244
Cordova CT 2,0,0,244
Cordova CT 1,0,0,244
Ontelaunee ST 1,1,67,0
Ontelaunee CT 2,1,67,0
Ontelaunee CT 1,1,66,0
Springdale 1 (AE1),0,0,244
Springdale 2 (AE2),0,0,48
Foothills 5 (Zelda 5),0,0,48
Foothills 4 (Zelda 4),0,0,48
Elwood 4,0,0,244
Elwood 5,0,0,244
Elwood 8,0,0,244
Elwood 7,0,0,244
Elwood 1,0,0,244
Elwood 2,0,0,244
Elwood 3,0,0,244
Elwood 9,0,0,244
Elwood 6,0,0,244
Morris CT1 (Equistar),1,144,0
Morris CT2 (Equistar),1,41,0
Morris ST1 (Equistar),1,12,0
Morris CT3 (Equistar),0,0,24
Greenville 1,0,0,72
Greenville 2,0,0,244
Greenville 3,0,0,244
Greenville 4,0,0,72
Liberty CT2,0,0,244
Liberty CT1,0,0,24
Liberty CC3,0,0,244
Handsome Lake 2,0,0,244
Handsome Lake 1,0,0,244
Handsome Lake 3,0,0,244
Handsome Lake 5,0,0,244
Handsome Lake 4,0,0,244
Lee County 8,0,0,244
Lee County 7,0,0,244
Lee County 5,0,0,244
Lee County 1,0,0,244
Lee County 6,0,0,244
Lee County 2,0,0,244
Lee County 3,0,0,244
Lee County 4,0,0,244
Rockford 1/11,0,0,244
Rockford 1/12,0,0,244
Red Oak Plant,0,0,24
Darby 1,0,0,244
Darby 5,0,0,244
Darby 3,0,0,244
Darby 6,0,0,244
Darby 2,0,0,244
Darby 4,0,0,244
Tait GT 7,0,0,244
Tait GT 4,0,0,244
Tait GT 6,0,0,244
Tait GT 5,0,0,244
University Park 3 CT (South),0,0,244
University Park 1 CT (South),0,0,244
University Park 2 CT (South),0,0,244
University Park 5 CT (South),0,0,244
University Park 4 CT (South),0,0,244
University Park 6 CT (South),0,0,244
Crete CT 4,0,0,48
Crete CT 2,0,0,244
Crete CT 1,0,0,244
Crete CT 3,0,0,48
Ceredo 6,0,0,48
Ceredo 4,0,0,244
Ceredo 3,0,0,48
Ceredo 2,0,0,48
Ceredo 1,0,0,48
Ceredo 5,0,0,48
Aurora  6,0,0,244
Aurora  8,0,0,244
Aurora  3,0,0,244
Aurora  7,0,0,244
Aurora  9,0,0,244
Aurora  4,0,0,244
Aurora  5,0,0,244
Aurora  2,0,0,244
Aurora 10,0,0,244
Aurora  1,0,0,244
Southeast Chicago CT 12,0,0,244
Southeast Chicago CT 10,0,0,244
Southeast Chicago CT 5,0,0,244
Southeast Chicago CT 8,0,0,244
Southeast Chicago CT 11,0,0,244
Southeast Chicago CT 9,0,0,244
Southeast Chicago CT 7,0,0,244
Southeast Chicago CT 6,0,0,244
Wolf Hills 4,0,0,72
Wolf Hills 5,0,0,72
Wolf Hills 3,0,0,72
Wolf Hills 1,0,0,244
Wolf Hills 2,0,0,244
Morgan ST 1,1,144,0
Morgan CT 1,1,144,0
Morgan CT 2,1,144,0
Morgan CT 3,1,144,0
River Energy CT 1 (Calumet),0,0,244
River Energy CT 2 (Calumet),0,0,244
New Covert 2,0,0,24
New Covert 1,0,0,24
